Date,Open,High,Low,Close,Adj Close,Volume
1989-08-01,28.875000,29.843750,28.125000,29.281250,14.289732,148444400
1989-09-01,29.218750,29.687500,26.937500,27.312500,13.471941,128322400
1989-10-01,27.343750,27.437500,24.437500,25.062500,12.362131,170029200
1989-11-01,25.062500,25.187500,24.000000,24.406250,12.038432,122311600
1989-12-01,24.406250,25.468750,23.343750,23.531250,11.749000,129607600
1990-01-01,23.687500,25.406250,23.625000,24.656250,12.310696,156385200
1990-02-01,24.656250,26.375000,24.375000,25.968750,12.966019,133848800
1990-03-01,25.937500,27.343750,25.843750,26.531250,13.411839,128318400
1990-04-01,26.281250,27.812500,26.250000,27.250000,13.775171,110108400
1990-05-01,27.375000,30.531250,26.968750,30.000000,15.165328,149241200
1990-06-01,30.125000,30.562500,29.062500,29.375000,15.015692,118013600
1990-07-01,29.375000,30.781250,27.625000,27.875000,14.248928,120184400
1990-08-01,27.968750,28.093750,24.125000,25.468750,13.018924,165578800
1990-09-01,25.250000,27.312500,25.187500,26.593750,13.747843,117822800
1990-10-01,26.781250,27.593750,24.062500,26.375000,13.634764,161156400
1990-11-01,26.343750,28.781250,26.218750,28.406250,14.684823,140917600
1990-12-01,28.625000,29.000000,27.656250,28.250000,14.768941,110565600
1991-01-01,28.218750,31.781250,26.375000,31.687500,16.566050,174923600
1991-02-01,31.625000,34.937500,31.406250,32.187500,16.827448,160567200
1991-03-01,32.062500,33.750000,27.750000,28.468750,15.026619,178246000
1991-04-01,28.468750,28.687500,25.531250,25.750000,13.591588,164028400
1991-05-01,25.625000,26.625000,25.125000,26.531250,14.003950,144389600
1991-06-01,26.500000,26.843750,24.156250,24.281250,12.967753,143852000
1991-07-01,24.406250,25.750000,23.906250,25.312500,13.518509,115507200
1991-08-01,25.250000,25.437500,23.000000,24.218750,12.934379,127478800
1991-09-01,24.437500,26.593750,24.406250,25.906250,14.003375,117172000
1991-10-01,25.906250,26.187500,24.187500,24.562500,13.277024,121914400
1991-11-01,24.593750,25.343750,23.093750,23.125000,12.499996,116302000
1991-12-01,22.781250,23.093750,20.875000,22.250000,12.176793,186779200
1992-01-01,22.250000,24.531250,22.218750,22.500000,12.313619,148634800
1992-02-01,22.500000,23.312500,21.656250,21.718750,11.886060,109520000
1992-03-01,21.718750,22.562500,20.781250,20.875000,11.577819,134208800
1992-04-01,20.875000,22.687500,20.406250,22.687500,12.583079,154146000
1992-05-01,22.812500,23.593750,22.531250,22.687500,12.583079,113014400
1992-06-01,22.625000,24.656250,22.062500,24.468750,13.749176,146374400
1992-07-01,24.468750,25.093750,23.093750,23.687500,13.310191,143590400
1992-08-01,23.625000,23.812500,21.250000,21.656250,12.168812,121280800
1992-09-01,21.656250,22.187500,20.000000,20.187500,11.495322,134284000
1992-10-01,20.250000,20.281250,16.250000,16.718750,9.520116,258644800
1992-11-01,16.750000,17.468750,15.218750,17.062500,9.715859,195714800
1992-12-01,17.093750,17.218750,12.187500,12.593750,7.300663,392747600
1993-01-01,12.937500,13.312500,11.468750,12.875000,7.463703,311186000
1993-02-01,13.000000,13.718750,12.187500,13.593750,7.880367,195832000
1993-03-01,13.687500,14.281250,12.468750,12.718750,7.451832,209145600
1993-04-01,12.875000,13.281250,11.843750,12.156250,7.122267,164894000
1993-05-01,12.281250,13.500000,11.781250,13.187500,7.726475,151283200
1993-06-01,13.312500,13.593750,12.125000,12.343750,7.312092,145922400
1993-07-01,12.406250,12.437500,10.281250,11.125000,6.590144,206189600
1993-08-01,11.093750,11.468750,10.156250,11.437500,6.775259,140713600
1993-09-01,11.437500,11.593750,10.312500,10.500000,6.255149,143716000
1993-10-01,10.531250,11.656250,10.531250,11.500000,6.850878,182151200
1993-11-01,11.500000,14.031250,11.437500,13.468750,8.023714,270267200
1993-12-01,13.687500,14.968750,13.187500,14.125000,8.456321,196909600
1994-01-01,14.218750,15.000000,13.687500,14.125000,8.456321,214073600
1994-02-01,14.218750,14.343750,13.000000,13.218750,7.913772,148824800
1994-03-01,13.218750,14.718750,12.843750,13.656250,8.212518,246932800
1994-04-01,13.250000,14.875000,12.843750,14.375000,8.644757,213590400
